time,probability
1801,4.4297423659524205e-46
1802,2.02512851724906e-45
1803,9.338687117676805e-45
1804,3.493730751202829e-44
1805,1.1380894042866877e-43
1806,3.627727952286237e-43
1807,1.1172602744422038e-42
1808,3.1801395366172464e-42
1809,8.489970467313132e-42
1810,2.1678171305265183e-41
1811,5.356913953535298e-41
1812,1.28052172882857e-40
1813,2.9491036305430416e-40
1814,6.590863177706493e-40
1815,1.4389256846697223e-39
1816,3.075306837803083e-39
1817,6.433474812143385e-39
1818,1.3180046943386973e-38
1819,2.6518794024274263e-38
1820,5.252593252470474e-38
1821,1.0249173736345438e-37
1822,1.9708186112393628e-37
1823,3.737853781304485e-37
1824,7.001250167441981e-37
1825,1.2963176615039828e-36
1826,2.373661433635348e-36
1827,4.300108622713325e-36
1828,7.712032525456852e-36
1829,1.370165980792945e-35
1830,2.412659852879757e-35
1831,4.2119046993793003e-35
1832,7.292411275416378e-35
1833,1.252717479770037e-34
1834,2.135950088956038e-34
1835,3.61587035833529e-34
1836,6.078902103976159e-34
1837,1.0151715021131728e-33
1838,1.6845054313168106e-33
1839,2.777992124983373e-33
1840,4.554129791585181e-33
1841,7.4229530134044e-33
1842,1.2031658773565151e-32
1843,1.9396820471750305e-32
1844,3.110748416734848e-32
1845,4.963584826826855e-32
1846,7.881055088168863e-32
1847,1.2453472766807823e-31
1848,1.9587058673460385e-31
1849,3.0667140621434644e-31
1850,4.780280963979663e-31
1851,7.419204777281275e-31
1852,1.1466448595367075e-30
1853,1.764855351469709e-30
1854,2.7054387668284734e-30
1855,4.130985518769277e-30
1856,6.283385068070855e-30
1857,9.521191971403391e-30
1858,1.4374024230040154e-29
1859,2.1621504228791193e-29
1860,3.2407396755875513e-29
1861,4.8404039961080315e-29
1862,7.204849435020995e-29
1863,1.0688075668393833e-28
1864,1.5802661257781604e-28
1865,2.328846787549248e-28
1866,3.421009752800097e-28
1867,5.009473463441136e-28
1868,7.3126548507033875e-28
1869,1.0642004142575702e-27
1870,1.544032640492295e-27
1871,2.2335355852131313e-27
1872,3.2214441617068823e-27
1873,4.632836730761623e-27
1874,6.64352721237789e-27
1875,9.499962706011799e-27
1876,1.3546658870999438e-26
1877,1.9263924735689975e-26
1878,2.731959604959442e-26
1879,3.8639798089456834e-26
1880,5.450549120870384e-26
1881,7.668385027290902e-26
1882,1.0760658167169679e-25
1883,1.5061133779792408e-25
1884,2.1026776052520463e-25
1885,2.9281674005940726e-25
1886,4.0676073165305817e-25
1887,5.636551435152977e-25
1888,7.791667576744726e-25
1889,1.0744859581784518e-24
1890,1.4782066020231322e-24
1891,2.0288225173508383e-24
1892,2.7780352494402016e-24
1893,3.795126694826355e-24
1894,5.172726376579258e-24
1895,7.03440114570942e-24
1896,9.544621020825012e-24
1897,1.2921816328176373e-23
1898,1.745544776017755e-23
1899,2.352827451504761e-23
1900,3.1645341582840445e-23
1901,4.2471633958706143e-23
1902,5.688088655536461e-23
1903,7.601872355173244e-23
1904,1.0138416641477285e-22
