time,probability
815,1.788650596702401e-26
816,6.399883971538085e-26
817,4.0506426368680833e-25
818,1.4802375602197104e-24
819,4.471530349282718e-24
820,1.88711210655971e-23
821,9.830934436365709e-23
822,3.3942807859353825e-22
823,8.998698317809782e-22
824,2.0063815536454882e-21
825,4.53396182332295e-21
826,1.1213360545047855e-20
827,2.6485801090270698e-20
828,5.654160322186969e-20
829,1.1169051321724185e-19
830,2.2007706078531637e-19
831,4.457126890233932e-19
832,8.865990099093014e-19
833,1.678703697633843e-18
834,3.058561262726727e-18
835,5.5329734931384135e-18
836,1.005759067702061e-17
837,1.806324971062458e-17
838,3.1621848186601904e-17
839,5.417702405622845e-17
840,9.203638480299545e-17
841,1.5577431338024517e-16
842,2.612016537583668e-16
843,4.31666828198314e-16
844,7.039476521936046e-16
845,1.13845898174474e-15
846,1.8297282067409133e-15
847,2.9176258492847445e-15
848,4.6090596406922476e-15
849,7.216452482560353e-15
850,1.1215738121725033e-14
851,1.7315896640002445e-14
852,2.6552435469950563e-14
853,4.0440799488111097e-14
854,6.119220575870154e-14
855,9.199646452523353e-14
856,1.374434169788837e-13
857,2.041486384800533e-13
858,3.0160115143969756e-13
859,4.4317352652345473e-13
860,6.474776837744745e-13
861,9.406987350746349e-13
862,1.3599260807038409e-12
863,1.9568424691467147e-12
864,2.8020078946813455e-12
865,3.9916003838141865e-12
866,5.658576632050193e-12
867,7.986476818202907e-12
868,1.122325828352341e-11
869,1.5699620462211726e-11
870,2.18600268498386e-11
871,3.030617406116217e-11
872,4.1843893547200434e-11
873,5.753387235620863e-11
874,7.87683874191462e-11
875,1.073894559802911e-10
876,1.4582793969878973e-10
877,1.9724874006812857e-10
878,2.657376812184159e-10
879,3.565829283854773e-10
880,4.766421463488904e-10
881,6.347319026580858e-10
882,8.420721074716912e-10
883,1.1129203222524983e-09
884,1.4654361318565163e-09
885,1.922653824961991e-09
886,2.513509870198062e-09
887,3.2741609216595697e-09
888,4.249857121456726e-09
889,5.4971962423734825e-09
890,7.086461609997292e-09
891,9.104246831016958e-09
892,1.1657070256116603e-08
893,1.4876132582531055e-08
894,1.8922524158382797e-08
895,2.3992513775066178e-08
896,3.0324069861989544e-08
897,3.820565575742254e-08
898,4.7986903464152724e-08
899,6.008954001703783e-08
900,7.5019235737024e-08
901,9.338058375423984e-08
902,1.1589629201132501e-07
903,1.4342851794960726e-07
904,1.7700128080148475e-07
905,2.1782578952035313e-07
906,2.673321615847295e-07
907,3.272065244505231e-07
908,3.9943214418212137e-07
909,4.863337095800715e-07
910,5.906287515492312e-07
911,7.154873061765321e-07
912,8.646007671145692e-07
913,1.042258154945373e-06
914,1.2534310078111783e-06
915,1.5038668573376708e-06
916,1.800196953401129e-06
917,2.150058951185717e-06
918,2.5622355327340175e-06
919,3.04680167965284e-06
920,3.615288127459575e-06
921,4.2808677600282976e-06
922,5.0585710029905786e-06
923,5.965515206937618e-06
924,7.021150891274203e-06
925,8.247535434802264e-06
926,9.669652097884629e-06
927,1.1315754202038427e-05
928,1.3217730118442829e-05
929,1.5411497254834858e-05
930,1.7937458259577628e-05
931,2.0840996537195835e-05
932,2.417300110440275e-05
933,2.799041973558396e-05
934,3.235689194628515e-05
935,3.734343883581222e-05
936,4.3029190920799594e-05
937,4.950214107585808e-05
938,5.6859992928666214e-05
939,6.52110876501914e-05
940,7.46753833559983e-05
941,8.538544403525035e-05
942,9.748753411544306e-05
943,0.00011114281440059716
944,0.00012652861321239622
945,0.00014383968861009068
946,0.00016328958395277443
947,0.0001851121015848447
948,0.0002095628865631115
949,0.00023692098284500474
950,0.0002674904551841906
951,0.00030160211938487264
952,0.00033961541769660916
953,0.00038192026484283663
954,0.00042893891876992046
955,0.00048112791943389895
956,0.0005389801928155059
957,0.0006030271276126918
958,0.0006738406511895962
959,0.0007520353055737923
960,0.0008382704671839119
961,0.0009332525457283378
962,0.0010377371659816136
963,0.0011525312866772954
964,0.0012784954058208205
965,0.001416545699471216
966,0.0015676561587309366
967,0.0017328606200178599
968,0.001913254810069339
969,0.0021099982352154366
970,0.0023243160289654523
971,0.0025575007130744258
972,0.0028109139388314127
973,0.003085987932306153
974,0.0033842268081496346
975,0.003707207776723319
976,0.004056582395950243
977,0.0044340774373718955
978,0.004841495427259167
979,0.005280715016110482
980,0.005753691457497894
981,0.006262456731762563
982,0.006809119195547445
983,0.007395862847119817
984,0.008024946744551373
985,0.008698704157276934
986,0.009419541196645101
987,0.010189934882678275
988,0.01101243124425402
989,0.011889643264999028
990,0.01282424835600387
991,0.01381898514443151
992,0.014876650198951444
993,0.016000094587934728
994,0.0171922200668599
995,0.018455974568017466
996,0.01979434752905311
997,0.02121036508105432
998,0.022707084906674554
999,0.024287590449499703
1000,0.025954984951686653
1001,0.02771238533500582
1002,0.02956291585704879
1003,0.03150970117343811
1004,0.033555859263002745
1005,0.0357044942423049
1006,0.037958688994389464
1007,0.040321497331370866
1008,0.04279593611880477
1009,0.04538497736238461
1010,0.048091540175068614
1011,0.05091848232782325
1012,0.05386859191870159
1013,0.05694457920212061
1014,0.060149068362726814
1015,0.0634845889067527
1016,0.06695356724730224
1017,0.07055831869721212
1018,0.0743010396200903
1019,0.07818379919428793
1020,0.08220853138691014
1021,0.08637702754847455
1022,0.09069092939277719
1023,0.09515172171371278
1024,0.0997607252442701
1025,0.10451909031496752
1026,0.1094277911386328
1027,0.11448761989457953
1028,0.119699180946882
1029,0.1250628859718316
1030,0.13057894998673591
1031,0.13624738725815
1032,0.14206800716690554
1033,0.14804041110964486
1034,0.15416399057198896
1035,0.1604379252494053
1036,0.16686118090917876
1037,0.1734325081789771
1038,0.180150442792748
1039,0.18701330610963396
1040,0.1940192052599851
1041,0.2011660340031617
1042,0.20845147507678133
1043,0.21587300308265994
1044,0.22342788696952426
1045,0.23111319310702566
1046,0.23892578971571732
1047,0.24686235188508537
1048,0.25491936622500155
1049,0.26309313607688606
1050,0.2713797879885474
1051,0.27977527863307133
1052,0.2882754012597678
1053,0.2968757927768573
1054,0.30557194204914523
1055,0.31435919848002486
1056,0.32323277985064147
1057,0.3321877808194924
1058,0.34121918270339996
1059,0.35032186336055365
1060,0.35949060599565535
1061,0.3687201085373505
1062,0.3780049944091577
1063,0.38733982332529654
1064,0.39671910059441845
1065,0.40613728680218675
1066,0.4155888089748077
1067,0.4250680718100798
1068,0.4345694670848241
1069,0.4440873830984071
1070,0.4536162155707868
1071,0.46315037874099063
1072,0.4726843144865774
1073,0.4822125011354405
1074,0.49172946351895863
1075,0.5012297833003957
1076,0.5107081073696095
1077,0.5201591557323325
