time,probability
1214,6.017655675334304e-44
1215,3.2814586377621543e-43
1216,1.9330554025245788e-42
1217,8.902588211877899e-42
1218,3.234185954139345e-41
1219,1.3126357971250975e-40
1220,6.038285671795574e-40
1221,2.3487471985750516e-39
1222,7.68427209036863e-39
1223,2.2864023748448007e-38
1224,6.481292483196471e-38
1225,1.7875687093244983e-37
1226,4.6750146929938235e-37
1227,1.1615530212185542e-36
1228,2.7863793961048395e-36
1229,6.521950458217231e-36
1230,1.4911187241786046e-35
1231,3.313435269477345e-35
1232,7.17676753356853e-35
1233,1.524072592162854e-34
1234,3.181858744683982e-34
1235,6.52766577725515e-34
1236,1.3153572047387149e-33
1237,2.6084519335574043e-33
1238,5.101999417850931e-33
1239,9.849941688855423e-33
1240,1.8770065536956162e-32
1241,3.532130021362437e-32
1242,6.570855910384648e-32
1243,1.2094871230419412e-31
1244,2.2035533640962412e-31
1245,3.974610682100267e-31
1246,7.101076448085579e-31
1247,1.257391359605298e-30
1248,2.2075961170137886e-30
1249,3.844003863725146e-30
1250,6.640176119552352e-30
1251,1.1383092820857593e-29
1252,1.9372199304486487e-29
1253,3.2738027786350386e-29
1254,5.495070310691354e-29
1255,9.163015627246426e-29
1256,1.5182902190574058e-28
1257,2.500473321330705e-28
1258,4.093782158771007e-28
1259,6.664035063207338e-28
1260,1.0787867906008603e-27
1261,1.7369801917942035e-27
1262,2.7821748626115095e-27
1263,4.433717706096141e-27
1264,7.030819362187686e-27
1265,1.109572803029461e-26
1266,1.742896625664674e-26
1267,2.7252371462180204e-26
1268,4.242319713146758e-26
1269,6.575312097651364e-26
1270,1.0148150240431219e-25
1271,1.5597511982826909e-25
1272,2.387596065605213e-25
1273,3.640342465055864e-25
1274,5.528868713793647e-25
1275,8.365204877860725e-25
1276,1.2609411054605345e-24
1277,1.893747207882352e-24
1278,2.8339262322507584e-24
1279,4.225937448998206e-24
1280,6.2798939284712806e-24
1281,9.300405916450485e-24
1282,1.37276700316221e-23
1283,2.0195803592122748e-23
1284,2.9615407406701234e-23
1285,4.329008261902551e-23
1286,6.308038449231577e-23
1287,9.16338210357699e-23
1288,1.3270654330239375e-22
1289,1.91612030619407e-22
1290,2.758451175984787e-22
1291,3.959473607099551e-22
1292,5.667037556054906e-22
1293,8.0879323746117e-22
1294,1.1510588861739444e-21
1295,1.633621837717384e-21
1296,2.3121408249519665e-21
1297,3.263623899764015e-21
1298,4.5943376545495225e-21
1299,6.450542618102362e-21
1300,9.033026525319046e-21
1301,1.2616729221909234e-20
1302,1.7577177988147304e-20
1303,2.4426008423570404e-20
1304,3.385857388041044e-20
1305,4.681760091965804e-20
1306,6.457809479098929e-20
1307,8.886031948819991e-20
1308,1.2197977808507489e-19
1309,1.6704584036956683e-19
1310,2.2822418617916143e-19
1311,3.110827702982383e-19
1312,4.2304684620640803e-19
1313,5.739960747678645e-19
1314,7.770463324456482e-19
1315,1.0495710810397677e-18
1316,1.414532767165979e-18
1317,1.90221457392283e-18
1318,2.552468067830193e-18
1319,3.417624207877247e-18
1320,4.566255505683263e-18
1321,6.088027997737604e-18
1322,8.099945738535394e-18
1323,1.0754370978074935e-17
1324,1.4249303970387925e-17
1325,1.8841532415979337e-17
1326,2.486341799927441e-17
1327,3.274428364535521e-17
1328,4.303760897597292e-17
1329,5.645554408834654e-17
1330,7.391262674808294e-17
1331,9.65810517773346e-17
1332,1.259604133236442e-16
1333,1.6396554505560613e-16
1334,2.13036949727266e-16
1335,2.762793728845218e-16
1336,3.576353776665663e-16
1337,4.621023692308456e-16
1338,5.960034605774145e-16
1339,7.673249405736556e-16
1340,9.861359856387677e-16
1341,1.2651097528238631e-15
1342,1.620169229793861e-15
1343,2.0712863473431074e-15
1344,2.64346905896278e-15
1345,3.3679785646292135e-15
1346,4.283827851748734e-15
1347,5.439623541699564e-15
1348,6.895826012298192e-15
1349,8.727518321034165e-15
1350,1.1027793057592376e-14
1351,1.3911888475223569e-14
1352,1.7522231750672095e-14
1353,2.2034578769528665e-14
1354,2.766547734280505e-14
1355,3.4681325290888544e-14
1356,4.340934760829412e-14
1357,5.4250879361176705e-14
1358,6.769741473800602e-14
1359,8.434996975622144e-14
1360,1.049424087608056e-13
1361,1.3036950555315854e-13
1362,1.6172065171973935e-13
1363,2.003202910069389e-13
1364,2.4777635351598445e-13
1365,3.0603819155570637e-13
1366,3.774657852442164e-13
1367,4.649122964194559e-13
1368,5.718224112165655e-13
1369,7.0234933286002e-13
1370,8.614937755512392e-13
1371,1.055268877700876e-12
1372,1.2908956099924995e-12
1373,1.5770340145402496e-12
1374,1.9240564910584084e-12
1375,2.3443703611583723e-12
1376,2.8527981114208773e-12
1377,3.4670250618717846e-12
1378,4.20812575426102e-12
1379,5.101182132540315e-12
1380,6.176008627060494e-12
1381,7.468001588399714e-12
1382,9.019133186154007e-12
1383,1.0879112938056561e-11
1384,1.3106743516824643e-11
1385,1.5771501451274188e-11
1386,1.8955377854237906e-11
1387,2.2755019441770015e-11
1388,2.7284215935774966e-11
1389,3.267678655518491e-11
1390,3.908992579414096e-11
1391,4.670807716029328e-11
1392,5.574741311860873e-11
1393,6.646101029068747e-11
1394,7.914482114816032e-11
1395,9.414455716977405e-11
1396,1.118636138701124e-10
1397,1.3277218544191402e-10
1398,1.5741773620455452e-10
1399,1.86437017867523e-10
1400,2.2056984605488224e-10
1401,2.606748768527689e-10
1402,3.077476546324279e-10
1403,3.6294123641885935e-10
1404,4.275897360155773e-10
1405,5.032351733528242e-10
1406,5.91658061488818e-10
1407,6.949122158127388e-10
1408,8.153643278204006e-10
1409,9.557389099621498e-10
1410,1.1191692890795113e-09
1411,1.3092554044214459e-09
1412,1.5301292528324064e-09
1413,1.7865289192467325e-09
1414,2.083882235989208e-09
1415,2.4284012304001597e-09
1416,2.827188647778882e-09
1417,3.288357976529251e-09
1418,3.821168555862201e-09
1419,4.436177514703306e-09
1420,5.1454104747037325e-09
1421,5.962553151548064e-09
1422,6.9031662084135475e-09
1423,7.984925955076353e-09
1424,9.227893747447759e-09
1425,1.065481722672427e-08
1426,1.2291466846266489e-08
1427,1.4167011469555167e-08
1428,1.6314437186238375e-08
1429,1.8771013887480435e-08
1430,2.157881456834675e-08
1431,2.4785292785612713e-08
1432,2.8443924196450074e-08
1433,3.2614918639540684e-08
1434,3.736600979775186e-08
1435,4.277333010271019e-08
1436,4.8922379208652416e-08
1437,5.5909095078537313e-08
1438,6.384103749251114e-08
1439,7.283869461015499e-08
1440,8.303692409595024e-08
1441,9.458654125461085e-08
1442,1.0765606762223987e-07
1443,1.2243365452370693e-07
1444,1.3912919723908275e-07
1445,1.5797665662500174e-07
1446,1.7923660631292e-07
1447,2.0319902495807664e-07
1448,2.301863544434214e-07
1449,2.6055684645458516e-07
1450,2.947082214373993e-07
1451,3.3308166563038375e-07
1452,3.76166193633089e-07
1453,4.2450340582950983e-07
1454,4.78692671935962e-07
1455,5.39396773986072e-07
1456,6.073480442025698e-07
1457,6.833550354373385e-07
1458,7.683097641886514e-07
1459,8.631955686280758e-07
1460,9.69095626588656e-07
1461,1.0872021810795787e-06
1462,1.2188265235994893e-06
1463,1.3654097883196734e-06
1464,1.528534613097447e-06
1465,1.709937726256246e-06
1466,1.911523521128072e-06
1467,2.1353786834919413e-06
1468,2.383787940254652e-06
1469,2.6592510010023125e-06
1470,2.9645007673957847e-06
1471,3.3025228887822736e-06
1472,3.6765767458410045e-06
1473,4.090217947565894e-06
1474,4.547322430402637e-06
1475,5.052112251889296e-06
1476,5.609183174685308e-06
1477,6.2235341404028975e-06
1478,6.900598736165824e-06
1479,7.646278760297126e-06
1480,8.466979996961231e-06
1481,9.369650312939559e-06
1482,1.0361820192988437e-05
1483,1.1451645833397262e-05
1484,1.2647954916409585e-05
1485,1.3960295191065763e-05
1486,1.539898598875338e-05
1487,1.6975172804292637e-05
1488,1.8700885075716348e-05
1489,2.0589097297997007e-05
1490,2.2653793607798612e-05
1491,2.4910035977865876e-05
1492,2.7374036160887096e-05
1493,3.0063231523552185e-05
1494,3.2996364912038636e-05
1495,3.6193568690263863e-05
1496,3.967645309191922e-05
1497,4.3468199026526465e-05
1498,4.759365547850225e-05
1499,5.207944163644128e-05
1500,5.6954053887501283e-05
1501,6.22479778088725e-05
1502,6.799380528482042e-05
1503,7.422635687367288e-05
1504,8.098280954434102e-05
1505,8.830282989648864e-05
1506,9.622871297228539e-05
1507,0.00010480552676077646
1508,0.00011408126248824777
1509,0.0001241069907795228
1510,0.0001349370237658804
1511,0.00014662908320522953
1512,0.00015924447466930235
1513,0.00017284826784090692
1514,0.00018750948295169465
1515,0.00020330128337744477
1516,0.00022030117439355662
1517,0.00023859120807826124
1518,0.0002582581943350068
1519,0.0002793939179885402
1520,0.0003020953618914137
1521,0.0003264649359590132
1522,0.00035261071203173213
1523,0.00038064666444261893
1524,0.0004106929161477294
1525,0.00044287599025455123
1526,0.00047732906676127497
1527,0.0005141922442963786
1528,0.000553612806624012
1529,0.0005957454936560615
1530,0.0006407527766865996
1531,0.0006888051375387332
1532,0.0007400813512876959
1533,0.0007947687721974334
1534,0.0008530636224810042
1535,0.0009151712834679218
1536,0.000981306588734182
1537,0.0010516941187231849
1538,0.0011265684963581728
1539,0.0012061746831192664
1540,0.001290768275030794
1541,0.0013806157979774423
1542,0.0014759950017408784
1543,0.0015771951521220038
1544,0.0016845173204880646
1545,0.0017982746700585227
1546,0.0019187927382189926
1547,0.002046409714128743
1548,0.0021814767108643807
1549,0.002324358031320517
1550,0.002475431427067576
1551,0.002635088349347481
1552,0.002803734191369911
1553,0.0029817885210552237
1554,0.0031696853033551606
1555,0.003367873111269156
1556,0.0035768153246625778
1557,0.003796990315983599
1558,0.004028891621967769
1559,0.004273028100413798
1560,0.004529924071110748
1561,0.00480011943999571
1562,0.005084169805622341
1563,0.005382646547024247
1564,0.005696136892063438
1565,0.0060252439653627815
1566,0.006370586814932799
1567,0.006732800416617163
1568,0.007112535655498018
1569,0.007510459283421771
1570,0.00792725385182832
1571,0.008363617619091813
1572,0.008820264431608967
1573,0.009297923577901789
1574,0.009797339615035087
1575,0.010319272166685618
1576,0.010864495692238874
1577,0.011433799226331512
1578,0.012027986088302037
1579,0.012647873561059732
1580,0.013294292538931673
1581,0.013968087144100142
1582,0.014670114311297638
1583,0.015401243340483914
1584,0.016162355417288932
1585,0.01695434310106727
1586,0.017778109780473093
1587,0.01863456909653042
1588,0.01952464433324057
1589,0.02044926777583769
1590,0.02140938003687346
1591,0.022405929350383828
1592,0.023439870834463156
1593,0.024512165722645078
1594,0.025623780564563617
1595,0.02677568639644327
1596,0.02796885788204199
1597,0.029204272424746634
1598,0.030482909251595983
1599,0.03180574847008178
1600,0.03317377009865304
1601,0.03458795307192306
1602,0.03604927422165195
1603,0.03755870723464976
1604,0.03911722158881631
1605,0.040725781468603194
1606,0.04238534466125125
1607,0.04409686143522246
1608,0.045861273402309194
1609,0.04767951236496471
1610,0.049552499150458125
1611,0.05148114243351251
1612,0.053466337549138404
1613,0.05550896529742483
1614,0.05760989074209685
1615,0.05976996200469199
1616,0.06199000905624727
1617,0.06427084250842498
1618,0.06661325240603702
1619,0.06901800702295613
1620,0.07148585166342561
1621,0.07401750747079922
1622,0.07661367024575796
1623,0.07927500927606147
1624,0.0820021661798978
1625,0.08479575376489752
1626,0.08765635490487453
1627,0.09058452143634896
1628,0.0935807730768951
1629,0.09664559636734026
1630,0.09977944363981912
1631,0.10298273201366137
1632,0.10625584242105979
1633,0.10959911866443041
1634,0.11301286650733622
1635,0.11649735280080134
1636,0.12005280464679363
1637,0.12367940860060037
1638,0.12737730991376447
1639,0.1311466118191874
1640,0.134987374859939
1641,0.13889961626324593
1642,0.1428833093610571
1643,0.14693838305850865
1644,0.15106472135153162
1645,0.1552621628947625
1646,0.15953050062083166
1647,0.1638694814120164
1648,0.16827880582515445
1649,0.17275812787062153
1650,0.17730705484608125
1651,0.18192514722561862
1652,0.18661191860477025
1653,0.19136683570186497
1654,0.19618931841598747
1655,0.20107873994177652
1656,0.20603442694116644
1657,0.21105565977207796
1658,0.21614167277396223
1659,0.22129165460999942
1660,0.22650474866565104
1661,0.2317800535031633
1662,0.23711662337151806
1663,0.2425134687712288
1664,0.24796955707328103
1665,0.25348381319141966
1666,0.25905512030689115
1667,0.26468232064465474
1668,0.2703642162999873
1669,0.27609957011431824
1670,0.28188710659904553
1671,0.2877255129060007
1672,0.2936134398431505
1673,0.2995495029340481
1674,0.3055322835194711
1675,0.31156032989961785
1676,0.3176321585151632
1677,0.32374625516541466
1678,0.3299010762617519
1679,0.3360950501144762
1680,0.3423265782511492
1681,0.3485940367644514
1682,0.35489577768755004
1683,0.3612301303949276
1684,0.36759540302658966
1685,0.3739898839335428
1686,0.3804118431424069
1687,0.38685953383700744
1688,0.39333119385477705
1689,0.39982504719578454
1690,0.40633930554220404
