time,probability
981,3.3643550542675016e-23
982,9.672520781019066e-23
983,1.89845749490809e-22
984,6.211040000482533e-22
985,1.4197378069779434e-21
986,3.2442996462298006e-21
987,5.9640202409921195e-21
988,1.1820701535014748e-20
989,2.3221259206704903e-20
990,4.1930778104176485e-20
991,7.37580775656206e-20
992,1.2824370753986809e-19
993,2.217868963241788e-19
994,3.7403317445433654e-19
995,6.139566480206143e-19
996,9.936343291154022e-19
997,1.6069302218085427e-18
998,2.5478422034647464e-18
999,3.9951539040008535e-18
1000,6.189257703968829e-18
1001,9.489426971707404e-18
1002,1.4491279616302992e-17
1003,2.1897599469837274e-17
1004,3.289411772491438e-17
1005,4.9092234189084286e-17
1006,7.259439201041685e-17
1007,1.0668944370746646e-16
1008,1.5590692502511118e-16
1009,2.265438492536162e-16
1010,3.2729617824847045e-16
1011,4.692423371907508e-16
1012,6.683488030944747e-16
1013,9.470575009421341e-16
1014,1.3339609428623409e-15
1015,1.8689534778643657e-15
1016,2.6026197492149983e-15
1017,3.6031235307255006e-15
1018,4.962955839476237e-15
1019,6.7985765880464845e-15
1020,9.268352834327779e-15
1021,1.2572041101703285e-14
1022,1.6967154885482063e-14
1023,2.279164882726599e-14
1024,3.0472528311608105e-14
1025,4.056494765081179e-14
1026,5.3765914742188623e-14
1027,7.095014702579412e-14
1028,9.324317721605166e-14
1029,1.2205171895956367e-13
1030,1.5914287937471083e-13
1031,2.0671720785538445e-13
1032,2.6749213911814766e-13
1033,3.448938851745992e-13
1034,4.431363360619447e-13
1035,5.674034335949171e-13
1036,7.240823864734685e-13
1037,9.20940561613364e-13
1038,1.1675798633968642e-12
1039,1.4756474539775856e-12
1040,1.8592780748429753e-12
1041,2.335644357749213e-12
1042,2.9253316161655206e-12
1043,3.653366761741121e-12
1044,4.5498117664428475e-12
1045,5.650654570354615e-12
1046,6.9989956728906065e-12
1047,8.645845262708046e-12
1048,1.0652409620375523e-11
1049,1.3091566773083381e-11
1050,1.6049372147881797e-11
1051,1.9627638929407468e-11
1052,2.3945526387037713e-11
1053,2.9144341089360923e-11
1054,3.539078801275212e-11
1055,4.2879440959720814e-11
1056,5.183819123614597e-11
1057,6.253108238360212e-11
1058,7.526777834120155e-11
1059,9.041035423545929e-11
1060,1.0837753975129341e-10
1061,1.296554223843757e-10
1062,1.5480210715112417e-10
1063,1.8446575527559721e-10
1064,2.1939812841924692e-10
1065,2.6046218368577034e-10
1066,3.0865159881765384e-10
1067,3.650985938460615e-10
1068,4.3110691402644423e-10
1069,5.081780618430071e-10
1070,5.980249243265998e-10
1071,7.02606763605976e-10
1072,8.241418020523826e-10
1073,9.65165199284112e-10
1074,1.1285795295371102e-09
1075,1.3176793797239134e-09
1076,1.536213670172137e-09
1077,1.788403392492398e-09
1078,2.0790425485162314e-09
1079,2.4135955273064234e-09
1080,2.7982395903576544e-09
1081,3.23997388463796e-09
1082,3.746642506609432e-09
1083,4.3271135279410165e-09
1084,4.991461178075304e-09
1085,5.75103438666279e-09
1086,6.61864579912793e-09
1087,7.608605611592972e-09
1088,8.737038935172848e-09
1089,1.0022212508271317e-08
1090,1.1484642530111851e-08
1091,1.3147423493594819e-08
1092,1.503628633825112e-08
1093,1.718014890245155e-08
1094,1.9611687872857096e-08
1095,2.2367510155666343e-08
1096,2.5488720891565133e-08
1097,2.9021028491041154e-08
1098,3.3015678564811296e-08
1099,3.753044546911752e-08
1100,4.262990101426833e-08
1101,4.8386386088045585e-08
1102,5.4880189733526783e-08
1103,6.220110683358653e-08
1104,7.045014123669628e-08
1105,7.973991878661342e-08
1106,9.019632451572308e-08
1107,1.019587730810697e-07
1108,1.151827672382279e-07
1109,1.3004279579876726e-07
1110,1.467329536214157e-07
1111,1.6546963050202414e-07
1112,1.8649186928010247e-07
1113,2.100655028931585e-07
1114,2.3648802470920486e-07
1115,2.6608947658974476e-07
1116,2.992367527299888e-07
1117,3.3633399686193346e-07
1118,3.778291628927841e-07
1119,4.242220605396056e-07
1120,4.760655806891855e-07
1121,5.33972407482851e-07
1122,5.986153004411282e-07
1123,6.707372493445867e-07
1124,7.511645616613657e-07
1125,8.408084769101514e-07
1126,9.406753683732916e-07
1127,1.0518665208792314e-06
1128,1.1755935125065085e-06
1129,1.3131991544806574e-06
1130,1.466159465377924e-06
1131,1.636098757854429e-06
1132,1.8247882029990288e-06
1133,2.0341686654054167e-06
1134,2.2663835749782074e-06
1135,2.523780998202431e-06
1136,2.808935425841559e-06
1137,3.1246440062684814e-06
1138,3.4739597051881603e-06
1139,3.8602418205343766e-06
1140,4.287157520632556e-06
1141,4.758712733444205e-06
1142,5.279244346513849e-06
1143,5.853467106900531e-06
1144,6.48654965710613e-06
1145,7.184114471256263e-06
1146,7.952280868563192e-06
1147,8.797650586577138e-06
1148,9.727372333085442e-06
1149,1.0749254145234373e-05
1150,1.1871759853483308e-05
1151,1.31040678329146e-05
1152,1.4456046221985475e-05
1153,1.5938339654542328e-05
1154,1.7562532124634407e-05
1155,1.934113685009759e-05
1156,2.1287675014570716e-05
1157,2.341663579169516e-05
1158,2.5743589950072325e-05
1159,2.828542122637525e-05
1160,3.1060304917455526e-05
1161,3.408781166463963e-05
1162,3.738884601074716e-05
1163,4.098579098308678e-05
1164,4.49028305454025e-05
1165,4.91659104416274e-05
1166,5.380287256806603e-05
1167,5.884336405373059e-05
1168,6.431901565523825e-05
