floor1,prob_reach_floor1,prob_complete_after_floor1,floor1_2,prob_reach_floor1_2,prob_complete_after_floor1_2,floor1_2_3,prob_reach_floor1_2_3,prob_complete_after_floor1_2_3,total,,,floor1,floor1_2,floor1_2_3
523,0.01974,0.0862915094774789,981,0.00644,0.196479641188204,1592,0.0238,0.21899,2284,,min,484,928,1494
534,0.05189,0.0609139459038858,1013,0.05783,0.0754093928421774,1584,0.01658,0.26259,2262,,avg,521.865139949109,986.921119592875,1569.46564885496
531,0.04096,0.0671977840691001,985,0.00907,0.177258487449708,1541,0.00157,0.68676,2278,,max,535,1015,1618
535,0.05631,0.0589208016905911,998,0.02347,0.122844092015064,1576,0.01156,0.35135,2273,,,,,
523,0.01974,0.0862915094774789,1008,0.04292,0.0894473610214943,1567,0.00721,0.44869,2294,,,,,
520,0.01473,0.0943687944150022,1013,0.05783,0.0754093928421774,1610,0.04996,0.09661,2297,,,,,
535,0.05631,0.0589208016905911,975,0.00379,0.227388189892184,1557,0.00387,0.54722,2282,,,,,
532,0.04445,0.0650518092384121,990,0.01341,0.154854653976002,1555,0.00354,0.55038,2241,,,,,
527,0.02903,0.0763092778586665,1009,0.04574,0.0865017026138368,1617,0.06427,0.07357,2289,,,,,
511,0.00498,0.121750581887447,972,0.00288,0.243730083452166,1613,0.05559,0.09458,2291,,,,,
514,0.00742,0.112089883360774,994,0.01817,0.138256156118922,1565,0.00638,0.45153,2297,,,,,
515,0.00819,0.10898906461665,983,0.00772,0.186727058016664,1568,0.00757,0.44727,2280,,,,,
528,0.03161,0.0739511142732888,1008,0.04292,0.0894473610214943,1582,0.01517,0.30422,2269,,,,,
535,0.05631,0.0589208016905911,1000,0.02651,0.115582024434988,1618,0.06664,0.07304,2285,,,,,
505,0.00208,0.142698297886598,987,0.01072,0.168078041112085,1530,0.00071,0.76669,2222,,,,,
530,0.0376,0.0693959347613141,977,0.00455,0.216816332057146,1526,0.00051,0.80044,2243,,,,,
530,0.0376,0.0693959347613141,983,0.00772,0.186727058016664,1544,0.00196,0.64544,2281,,,,,
506,0.00245,0.139055810290674,1005,0.03643,0.0987078893913366,1590,0.02181,0.22131,2297,,,,,
521,0.0161,0.0916192212193727,1002,0.03048,0.108613965165864,1551,0.00281,0.5966,2238,,,,,
507,0.00278,0.135473856768041,990,0.01341,0.154854653976002,1548,0.00234,0.63986,2275,,,,,
526,0.02635,0.0787218852982478,998,0.02347,0.122844092015064,1601,0.03517,0.15017,2248,,,,,
526,0.02635,0.0787218852982478,997,0.02202,0.12658592461451,1590,0.02181,0.22131,2299,,,,,
533,0.04794,0.0629574035406007,1005,0.03643,0.0987078893913366,1575,0.01087,0.35256,2277,,,,,
505,0.00208,0.142698297886598,971,0.00265,0.249302393440592,1527,0.00054,0.79927,2234,,,,,
519,0.01327,0.0971760516042577,1014,0.06089,0.0728056174696529,1573,0.00987,0.39689,2285,,,,,
511,0.00498,0.121750581887447,1007,0.04063,0.0924632563358347,1591,0.02273,0.22018,2298,,,,,
534,0.05189,0.0609139459038858,980,0.00587,0.201460931052631,1567,0.00721,0.44869,2254,,,,,
534,0.05189,0.0609139459038858,974,0.00342,0.232771926407453,1578,0.01261,0.34839,2270,,,,,
