floor1,floor1_2,floor1_2_3,total,,,floor1,floor1_2,floor1_2_3
536,1019,1595,2272,,min,476,933,1492
539,1020,1586,2273,,avg,549.19640787949,1018.70683661645,1590.23348783314
543,1004,1566,2283,,max,632,1112,1703
524,990,1563,2280,,,,,
513,968,1544,2266,,,,,
539,1010,1591,2290,,,,,
553,977,1539,2266,,,,,
559,1016,1565,2257,,,,,
540,1046,1605,2297,,,,,
575,1026,1586,2280,,,,,
566,1066,1633,2299,,,,,
551,1058,1615,2277,,,,,
531,1010,1582,2295,,,,,
553,1043,1554,2217,,,,,
547,1022,1572,2299,,,,,
543,1036,1568,2260,,,,,
591,1045,1631,2283,,,,,
566,1069,1611,2288,,,,,
523,1016,1613,2300,,,,,
567,1014,1618,2275,,,,,
564,1041,1612,2279,,,,,
515,1013,1604,2286,,,,,
515,955,1548,2290,,,,,
521,1038,1611,2273,,,,,
577,1030,1591,2268,,,,,
518,952,1554,2281,,,,,
576,1074,1626,2288,,,,,
566,982,1567,2257,,,,,
537,1005,1611,2293,,,,,
550,1061,1620,2282,,,,,
603,1056,1643,2280,,,,,
612,1060,1650,2296,,,,,
525,1036,1587,2264,,,,,
550,1005,1626,2278,,,,,
562,1061,1592,2274,,,,,
523,1003,1563,2265,,,,,
521,1034,1626,2293,,,,,
558,1056,1620,2277,,,,,
562,1012,1561,2253,,,,,
536,1002,1544,2286,,,,,
554,1041,1623,2295,,,,,
595,1052,1593,2295,,,,,
533,1016,1604,2291,,,,,
515,1000,1571,2273,,,,,
539,1023,1577,2239,,,,,
554,1025,1655,2297,,,,,
553,1004,1635,2297,,,,,
558,1023,1585,2282,,,,,
549,987,1611,2298,,,,,
532,1009,1580,2257,,,,,
563,1009,1606,2278,,,,,
589,1051,1609,2299,,,,,
572,1044,1567,2264,,,,,
585,1051,1620,2277,,,,,
530,1036,1611,2265,,,,,
557,1061,1619,2286,,,,,
540,1017,1602,2294,,,,,
556,1005,1558,2260,,,,,
534,1024,1614,2291,,,,,
586,1067,1653,2290,,,,,
582,1019,1602,2259,,,,,
570,1014,1540,2270,,,,,
563,1010,1564,2271,,,,,
533,1027,1629,2291,,,,,
529,1014,1566,2293,,,,,
567,1025,1583,2270,,,,,
546,1038,1639,2296,,,,,
530,1015,1587,2274,,,,,
555,1016,1576,2298,,,,,
570,1001,1610,2295,,,,,
575,1017,1573,2240,,,,,
583,1053,1612,2294,,,,,
548,1023,1602,2284,,,,,
544,1044,1582,2274,,,,,
577,1016,1581,2258,,,,,
537,1000,1619,2291,,,,,
569,1028,1579,2276,,,,,
526,1028,1637,2287,,,,,
557,1057,1632,2289,,,,,
560,1022,1559,2251,,,,,
537,969,1539,2276,,,,,
557,996,1571,2273,,,,,
499,987,1571,2253,,,,,
539,1022,1598,2275,,,,,
550,1033,1614,2296,,,,,
589,1051,1575,2237,,,,,
596,1060,1579,2256,,,,,
538,1038,1629,2256,,,,,
567,1046,1606,2298,,,,,
531,999,1607,2299,,,,,
562,1016,1584,2291,,,,,
526,965,1525,2242,,,,,
579,1024,1630,2272,,,,,
565,1032,1634,2296,,,,,
557,979,1597,2299,,,,,
526,1008,1584,2266,,,,,
529,998,1543,2280,,,,,
523,1001,1611,2288,,,,,
503,986,1540,2287,,,,,
522,990,1526,2261,,,,,
545,982,1542,2229,,,,,
596,1026,1623,2300,,,,,
532,1013,1574,2281,,,,,
521,1023,1586,2258,,,,,
546,1038,1612,2289,,,,,
529,1003,1580,2287,,,,,
561,1008,1580,2282,,,,,
546,1037,1618,2275,,,,,
554,1010,1566,2253,,,,,
544,1054,1571,2268,,,,,
551,1009,1579,2297,,,,,
553,1015,1622,2294,,,,,
586,1045,1584,2281,,,,,
536,1048,1589,2296,,,,,
551,1041,1576,2238,,,,,
512,1010,1568,2295,,,,,
543,1020,1635,2281,,,,,
539,993,1543,2295,,,,,
592,1068,1656,2268,,,,,
577,1083,1670,2292,,,,,
589,1061,1656,2293,,,,,
566,1039,1594,2286,,,,,
539,1009,1600,2287,,,,,
540,994,1521,2268,,,,,
525,1003,1611,2293,,,,,
584,1063,1614,2291,,,,,
562,1011,1623,2295,,,,,
509,1010,1589,2276,,,,,
553,1002,1529,2228,,,,,
590,1078,1595,2287,,,,,
554,1013,1567,2299,,,,,
557,1015,1610,2292,,,,,
548,987,1538,2270,,,,,
536,1043,1589,2266,,,,,
524,1035,1630,2292,,,,,
534,997,1615,2297,,,,,
524,993,1626,2288,,,,,
560,1020,1588,2270,,,,,
541,986,1574,2286,,,,,
552,1021,1584,2281,,,,,
530,1061,1599,2296,,,,,
556,1005,1562,2279,,,,,
516,975,1590,2267,,,,,
529,999,1604,2286,,,,,
574,1026,1601,2268,,,,,
542,1013,1570,2262,,,,,
535,993,1611,2283,,,,,
533,975,1554,2276,,,,,
528,987,1595,2292,,,,,
538,1005,1603,2300,,,,,
571,1046,1617,2294,,,,,
560,1035,1636,2298,,,,,
553,1005,1610,2237,,,,,
573,1009,1596,2295,,,,,
533,987,1613,2290,,,,,
523,981,1560,2272,,,,,
566,1036,1612,2274,,,,,
561,1067,1610,2298,,,,,
535,1016,1603,2295,,,,,
594,1071,1622,2294,,,,,
540,1014,1591,2263,,,,,
569,1037,1565,2267,,,,,
552,995,1493,2285,,,,,
539,988,1526,2243,,,,,
542,984,1598,2290,,,,,
579,1050,1608,2300,,,,,
566,1100,1652,2289,,,,,
550,1045,1604,2291,,,,,
562,1003,1613,2285,,,,,
556,1009,1560,2237,,,,,
577,1095,1679,2296,,,,,
551,1025,1575,2277,,,,,
544,1003,1571,2228,,,,,
610,1048,1620,2292,,,,,
507,980,1503,2200,,,,,
537,962,1577,2294,,,,,
583,1060,1617,2299,,,,,
570,1027,1569,2246,,,,,
568,1025,1630,2292,,,,,
568,1036,1624,2296,,,,,
510,977,1582,2284,,,,,
542,974,1571,2298,,,,,
581,1052,1641,2283,,,,,
545,1006,1608,2280,,,,,
565,1021,1594,2276,,,,,
530,990,1528,2255,,,,,
478,959,1534,2291,,,,,
566,1062,1584,2281,,,,,
538,1005,1616,2283,,,,,
610,1041,1621,2283,,,,,
573,1028,1613,2295,,,,,
541,1017,1582,2294,,,,,
528,1030,1613,2286,,,,,
575,1060,1622,2299,,,,,
519,1014,1624,2296,,,,,
561,1034,1564,2281,,,,,
553,1020,1560,2282,,,,,
570,1090,1668,2300,,,,,
555,1038,1662,2299,,,,,
569,1005,1634,2296,,,,,
539,1027,1590,2282,,,,,
546,1027,1600,2287,,,,,
602,1060,1601,2266,,,,,
582,1031,1630,2282,,,,,
564,1031,1600,2277,,,,,
525,968,1536,2273,,,,,
565,1004,1567,2274,,,,,
563,1054,1611,2298,,,,,
541,1023,1554,2276,,,,,
564,1037,1520,2282,,,,,
480,949,1555,2272,,,,,
575,1038,1627,2279,,,,,
526,986,1531,2233,,,,,
537,1013,1577,2229,,,,,
541,1030,1633,2300,,,,,
551,1021,1574,2246,,,,,
582,1033,1632,2300,,,,,
539,990,1621,2294,,,,,
539,1025,1587,2289,,,,,
566,996,1604,2256,,,,,
562,1032,1567,2213,,,,,
574,1033,1595,2297,,,,,
542,1001,1568,2290,,,,,
530,1012,1585,2247,,,,,
539,1005,1622,2284,,,,,
563,1030,1626,2248,,,,,
548,1016,1583,2295,,,,,
527,995,1564,2281,,,,,
566,1000,1630,2297,,,,,
539,1035,1607,2299,,,,,
547,983,1512,2229,,,,,
588,1050,1649,2296,,,,,
582,1096,1597,2279,,,,,
546,1056,1598,2290,,,,,
510,979,1549,2256,,,,,
567,1048,1606,2273,,,,,
523,998,1581,2248,,,,,
537,994,1599,2281,,,,,
557,1033,1590,2257,,,,,
545,982,1586,2298,,,,,
511,987,1529,2221,,,,,
504,949,1494,2146,,,,,
537,1030,1616,2298,,,,,
568,1005,1551,2293,,,,,
551,1019,1563,2240,,,,,
562,1048,1610,2287,,,,,
570,1022,1642,2289,,,,,
531,1019,1597,2289,,,,,
560,1039,1569,2281,,,,,
534,1033,1625,2292,,,,,
572,1059,1653,2299,,,,,
538,1022,1553,2242,,,,,
577,1056,1612,2299,,,,,
552,1029,1618,2295,,,,,
556,1006,1600,2297,,,,,
520,978,1585,2282,,,,,
545,1006,1566,2283,,,,,
527,1004,1564,2236,,,,,
557,999,1594,2286,,,,,
556,1019,1563,2295,,,,,
514,961,1585,2292,,,,,
550,993,1519,2221,,,,,
546,1003,1572,2296,,,,,
573,1034,1589,2291,,,,,
600,1044,1614,2291,,,,,
544,1033,1576,2273,,,,,
620,1079,1601,2298,,,,,
550,1043,1611,2298,,,,,
538,1037,1566,2298,,,,,
577,1021,1590,2292,,,,,
572,1055,1586,2293,,,,,
561,1013,1565,2282,,,,,
521,990,1599,2291,,,,,
534,983,1586,2278,,,,,
558,1055,1615,2297,,,,,
546,996,1602,2294,,,,,
563,1076,1636,2288,,,,,
571,1007,1556,2263,,,,,
556,1026,1562,2279,,,,,
564,1072,1608,2290,,,,,
533,1000,1586,2288,,,,,
566,1034,1642,2299,,,,,
567,1034,1607,2300,,,,,
554,995,1553,2255,,,,,
551,989,1567,2274,,,,,
579,1040,1598,2290,,,,,
554,998,1570,2292,,,,,
539,994,1609,2281,,,,,
548,1020,1566,2253,,,,,
529,998,1611,2290,,,,,
539,995,1536,2288,,,,,
535,996,1593,2285,,,,,
537,1006,1553,2290,,,,,
543,1007,1648,2295,,,,,
542,1016,1549,2274,,,,,
582,1067,1618,2280,,,,,
539,999,1589,2241,,,,,
571,1036,1555,2292,,,,,
551,1032,1611,2278,,,,,
558,1003,1557,2289,,,,,
511,948,1565,2282,,,,,
519,1004,1568,2280,,,,,
548,1018,1609,2278,,,,,
622,1051,1572,2289,,,,,
532,996,1640,2297,,,,,
580,1034,1617,2259,,,,,
510,984,1555,2292,,,,,
528,1025,1561,2273,,,,,
562,1040,1575,2256,,,,,
524,1008,1564,2266,,,,,
530,984,1554,2231,,,,,
514,983,1568,2255,,,,,
537,1035,1629,2256,,,,,
561,1005,1550,2222,,,,,
596,1060,1601,2258,,,,,
539,1002,1582,2284,,,,,
540,1026,1578,2295,,,,,
548,1015,1578,2260,,,,,
549,994,1559,2277,,,,,
531,993,1535,2219,,,,,
