floor1,prob_reach_floor1,prob_complete_after_floor1,floor1_2,prob_reach_floor1_2,prob_complete_after_floor1_2,floor1_2_3,prob_reach_floor1_2_3,prob_complete_after_floor1_2_3,total
512,0.005586,0.1184704339272214,969,0.002092,0.2606278450050883,1603,0.037519,0.14832,2297
535,0.056514,0.0589208016905911,1000,0.026039,0.11558202443498841,1596,0.028082,0.18432,2256
534,0.052241,0.0609139459038858,1004,0.033659,0.10193759807570915,1579,0.012812,0.30817,2261
516,0.009099,0.10594756054488935,1004,0.033659,0.10193759807570915,1610,0.049684,0.09661,2287
529,0.034503,0.07164685292425027,981,0.006171,0.19647964118820407,1551,0.002709,0.5966,2278
532,0.044502,0.06505180923841214,971,0.002533,0.2493023934405924,1588,0.019605,0.25758,2285
522,0.017592,0.08892693333344363,956,0.000556,0.33943400101766535,1512,0.000161,0.88264,2279
506,0.002501,0.13905581029067357,995,0.018428,0.13429188775212894,1573,0.009359,0.39689,2262
512,0.005586,0.1184704339272214,987,0.010134,0.16807804111208538,1569,0.007588,0.40304,2291
496,0.00049,0.1781919045355587,980,0.005703,0.20146093105263113,1613,0.055648,0.09458,2270
520,0.014267,0.09436879441500223,981,0.006171,0.19647964118820407,1531,0.000666,0.76548,2278
518,0.011439,0.10004136818048001,1012,0.053995,0.07808020250936908,1593,0.0246,0.21777,2275
519,0.01275,0.09717605160425771,965,0.001382,0.28396770626223383,1544,0.00172,0.64544,2251
513,0.006334,0.11525026582437176,982,0.00671,0.19156813642141995,1560,0.004523,0.50116,2295
502,0.001373,0.15398866884503148,972,0.002811,0.2437300834521658,1510,0.000134,0.88401,2267
526,0.026259,0.07872188529824783,999,0.024403,0.11917618755716608,1539,0.00118,0.68915,2281
500,0.000991,0.16181715370253355,952,0.000352,0.36516680772409843,1600,0.033204,0.15109,2282
509,0.00377,0.1284914524482879,1005,0.03579,0.09870788939133658,1552,0.002885,0.5952,2294
525,0.02388,0.0811894600154765,974,0.003392,0.2327719264074534,1584,0.016284,0.26259,2291
523,0.019568,0.08629150947747893,996,0.019844,0.1304018254689262,1562,0.005052,0.49791,2259
523,0.019568,0.08629150947747893,978,0.004839,0.21163004105402708,1566,0.006415,0.4501,2288
521,0.015881,0.09161922121937276,1013,0.05705,0.07540939284217735,1604,0.039127,0.12314,2297
481,1.6e-05,0.24775598735528612,964,0.001244,0.2899385501920277,1564,0.005697,0.45301,2286
533,0.048258,0.06295740354060068,987,0.010134,0.16807804111208538,1588,0.019605,0.25758,2265
526,0.026259,0.07872188529824783,1015,0.063715,0.0702681444955853,1590,0.021501,0.22131,2300
533,0.048258,0.06295740354060068,1003,0.031643,0.1052394915244936,1555,0.00341,0.55038,2277
524,0.02167,0.08371250648363103,982,0.00671,0.19156813642141995,1560,0.004523,0.50116,2277
528,0.031587,0.07395111427328879,1000,0.026039,0.11558202443498841,1579,0.012812,0.30817,2296
535,0.056514,0.0589208016905911,969,0.002092,0.2606278450050883,1521,0.000318,0.83168,2203
527,0.028861,0.07630927785866647,978,0.004839,0.21163004105402708,1568,0.007169,0.44727,2250
504,0.001879,0.1464013056895814,985,0.008669,0.17725848744970762,1550,0.002533,0.59829,2297
512,0.005586,0.1184704339272214,1000,0.026039,0.11558202443498841,1566,0.006415,0.4501,2253
533,0.048258,0.06295740354060068,1010,0.048204,0.08362570274381714,1615,0.059909,0.07469,2297
514,0.007146,0.11208988336077409,1006,0.038133,0.09554993085534054,1589,0.020539,0.22261,2291
526,0.026259,0.07872188529824783,950,0.000294,0.37823128228654707,1469,5e-06,0.98183,2156
525,0.02388,0.0811894600154765,1000,0.026039,0.11558202443498841,1573,0.009359,0.39689,2280
525,0.02388,0.0811894600154765,1004,0.033659,0.10193759807570915,1593,0.0246,0.21777,2300
514,0.007146,0.11208988336077409,1004,0.033659,0.10193759807570915,1614,0.057732,0.07535,2291
523,0.019568,0.08629150947747893,977,0.004388,0.21681633205714562,1538,0.001101,0.72452,2270
525,0.02388,0.0811894600154765,973,0.003098,0.23821956795561378,1522,0.000347,0.8308,2289
529,0.034503,0.07164685292425027,1015,0.063715,0.0702681444955853,1574,0.009869,0.35407,2246
521,0.015881,0.09161922121937276,995,0.018428,0.13429188775212894,1559,0.004308,0.50272,2271
528,0.031587,0.07395111427328879,998,0.02282,0.12284409201506367,1561,0.004774,0.49948,2287
529,0.034503,0.07164685292425027,1014,0.06028,0.0728056174696529,1613,0.055648,0.09458,2295
507,0.002863,0.13547385676804075,992,0.014832,0.14640728029505454,1573,0.009359,0.39689,2255
515,0.008088,0.10898906461665049,1000,0.026039,0.11558202443498841,1566,0.006415,0.4501,2288
533,0.048258,0.06295740354060068,1014,0.06028,0.0728056174696529,1578,0.012181,0.34839,2290
517,0.010187,0.10296509556568055,990,0.012741,0.1548546539760021,1566,0.006415,0.4501,2268
533,0.048258,0.06295740354060068,981,0.006171,0.19647964118820407,1543,0.001585,0.68419,2296
518,0.011439,0.10004136818048001,1003,0.031643,0.1052394915244936,1599,0.0319,0.15219,2281
527,0.028861,0.07630927785866647,973,0.003098,0.23821956795561378,1572,0.008891,0.39839,2299
534,0.052241,0.0609139459038858,1010,0.048204,0.08362570274381714,1608,0.045945,0.1199,2295
530,0.037632,0.06939593476131409,998,0.02282,0.12284409201506367,1521,0.000318,0.83168,2278
527,0.028861,0.07630927785866647,998,0.02282,0.12284409201506367,1546,0.001944,0.64278,2263
496,0.00049,0.1781919045355587,963,0.001144,0.29596095314786397,1595,0.026909,0.18542,2270
535,0.056514,0.0589208016905911,992,0.014832,0.14640728029505454,1607,0.044143,0.12065,2299
533,0.048258,0.06295740354060068,986,0.009392,0.17263202146860682,1571,0.008412,0.40015,2288
518,0.011439,0.10004136818048001,1002,0.029719,0.10861396516586448,1598,0.030566,0.18239,2295
510,0.004268,0.1250908756684736,986,0.009392,0.17263202146860682,1559,0.004308,0.50272,2241
520,0.014267,0.09436879441500223,952,0.000352,0.36516680772409843,1557,0.00386,0.54722,2279
534,0.052241,0.0609139459038858,1008,0.042959,0.08944736102149425,1591,0.022435,0.22018,2293
534,0.052241,0.0609139459038858,979,0.005218,0.20651131130799644,1570,0.008002,0.40158,2232
511,0.004881,0.12175058188744681,995,0.018428,0.13429188775212894,1562,0.005052,0.49791,2294
525,0.02388,0.0811894600154765,988,0.010923,0.16359693617424872,1561,0.004774,0.49948,2300
519,0.01275,0.09717605160425771,991,0.013703,0.15059400098504225,1589,0.020539,0.22261,2281
513,0.006334,0.11525026582437176,956,0.000556,0.33943400101766535,1541,0.001371,0.68676,2293
513,0.006334,0.11525026582437176,977,0.004388,0.21681633205714562,1550,0.002533,0.59829,2287
512,0.005586,0.1184704339272214,973,0.003098,0.23821956795561378,1575,0.010438,0.35256,2287
518,0.011439,0.10004136818048001,1009,0.045482,0.08650170261383684,1558,0.004082,0.54556,2230
529,0.034503,0.07164685292425027,999,0.024403,0.11917618755716608,1612,0.053611,0.09518,2268
518,0.011439,0.10004136818048001,999,0.024403,0.11917618755716608,1613,0.055648,0.09458,2298
529,0.034503,0.07164685292425027,996,0.019844,0.1304018254689262,1614,0.057732,0.07535,2287
521,0.015881,0.09161922121937276,977,0.004388,0.21681633205714562,1583,0.015542,0.30283,2295
514,0.007146,0.11208988336077409,996,0.019844,0.1304018254689262,1579,0.012812,0.30817,2296
528,0.031587,0.07395111427328879,980,0.005703,0.20146093105263113,1577,0.011537,0.34986,2299
514,0.007146,0.11208988336077409,953,0.00039,0.3586813990073307,1550,0.002533,0.59829,2257
515,0.008088,0.10898906461665049,976,0.004013,0.22206934473661805,1558,0.004082,0.54556,2244
503,0.001616,0.15016478838205044,925,9e-06,0.5460887594179,1577,0.011537,0.34986,2294
533,0.048258,0.06295740354060068,1012,0.053995,0.07808020250936908,1572,0.008891,0.39839,2271
512,0.005586,0.1184704339272214,984,0.007966,0.1819569959217331,1545,0.001831,0.64414,2252
512,0.005586,0.1184704339272214,980,0.005703,0.20146093105263113,1611,0.051602,0.09602,2293
528,0.031587,0.07395111427328879,992,0.014832,0.14640728029505454,1590,0.021501,0.22131,2297
529,0.034503,0.07164685292425027,1000,0.026039,0.11558202443498841,1613,0.055648,0.09458,2287
487,8e-05,0.21844195353390974,957,0.000615,0.3330936531441198,1527,0.000498,0.79927,2269
534,0.052241,0.0609139459038858,992,0.014832,0.14640728029505454,1551,0.002709,0.5966,2273
529,0.034503,0.07164685292425027,1014,0.06028,0.0728056174696529,1587,0.01874,0.25879,2284
516,0.009099,0.10594756054488935,999,0.024403,0.11917618755716608,1588,0.019605,0.25758,2285
521,0.015881,0.09161922121937276,975,0.00369,0.22738818989218357,1547,0.002073,0.64148,2299
531,0.041003,0.06719778406910008,1010,0.048204,0.08362570274381714,1578,0.012181,0.34839,2250
517,0.010187,0.10296509556568055,969,0.002092,0.2606278450050883,1545,0.001831,0.64414,2256
534,0.052241,0.0609139459038858,1011,0.051058,0.08081874884681862,1595,0.026909,0.18542,2288
511,0.004881,0.12175058188744681,973,0.003098,0.23821956795561378,1614,0.057732,0.07535,2286
512,0.005586,0.1184704339272214,997,0.02129,0.12658592461451013,1558,0.004082,0.54556,2220
533,0.048258,0.06295740354060068,975,0.00369,0.22738818989218357,1564,0.005697,0.45301,2296
532,0.044502,0.06505180923841214,993,0.015952,0.14229463445134527,1566,0.006415,0.4501,2253
523,0.019568,0.08629150947747893,982,0.00671,0.19156813642141995,1523,0.000381,0.82997,2205
507,0.002863,0.13547385676804075,996,0.019844,0.1304018254689262,1535,0.000895,0.72837,2230
512,0.005586,0.1184704339272214,1011,0.051058,0.08081874884681862,1583,0.015542,0.30283,2265
509,0.00377,0.1284914524482879,965,0.001382,0.28396770626223383,1597,0.029314,0.18339,2295
520,0.014267,0.09436879441500223,979,0.005218,0.20651131130799644,1593,0.0246,0.21777,2275
533,0.048258,0.06295740354060068,979,0.005218,0.20651131130799644,1618,0.066798,0.07304,2290
533,0.048258,0.06295740354060068,1001,0.027857,0.11206137253379161,1592,0.023531,0.21899,2289
528,0.031587,0.07395111427328879,996,0.019844,0.1304018254689262,1575,0.010438,0.35256,2292
535,0.056514,0.0589208016905911,985,0.008669,0.17725848744970762,1548,0.002223,0.63986,2295
502,0.001373,0.15398866884503148,1005,0.03579,0.09870788939133658,1598,0.030566,0.18239,2300
508,0.003275,0.1319524201119132,935,4.4e-05,0.47875459718242586,1529,0.000576,0.76786,2246
504,0.001879,0.1464013056895814,981,0.006171,0.19647964118820407,1591,0.022435,0.22018,2288
523,0.019568,0.08629150947747893,995,0.018428,0.13429188775212894,1552,0.002885,0.5952,2239
523,0.019568,0.08629150947747893,1008,0.042959,0.08944736102149425,1596,0.028082,0.18432,2293
515,0.008088,0.10898906461665049,973,0.003098,0.23821956795561378,1554,0.00322,0.55197,2241
496,0.00049,0.1781919045355587,957,0.000615,0.3330936531441198,1535,0.000895,0.72837,2272
518,0.011439,0.10004136818048001,998,0.02282,0.12284409201506367,1606,0.042451,0.12152,2278
531,0.041003,0.06719778406910008,1013,0.05705,0.07540939284217735,1581,0.014124,0.30552,2298
527,0.028861,0.07630927785866647,976,0.004013,0.22206934473661805,1578,0.012181,0.34839,2300
513,0.006334,0.11525026582437176,999,0.024403,0.11917618755716608,1614,0.057732,0.07535,2282
513,0.006334,0.11525026582437176,993,0.015952,0.14229463445134527,1558,0.004082,0.54556,2227
520,0.014267,0.09436879441500223,971,0.002533,0.2493023934405924,1581,0.014124,0.30552,2258
534,0.052241,0.0609139459038858,999,0.024403,0.11917618755716608,1570,0.008002,0.40158,2297
523,0.019568,0.08629150947747893,1006,0.038133,0.09554993085534054,1549,0.002376,0.59962,2276
532,0.044502,0.06505180923841214,1002,0.029719,0.10861396516586448,1589,0.020539,0.22261,2296
518,0.011439,0.10004136818048001,1003,0.031643,0.1052394915244936,1585,0.01703,0.26134,2247
523,0.019568,0.08629150947747893,998,0.02282,0.12284409201506367,1551,0.002709,0.5966,2278
521,0.015881,0.09161922121937276,999,0.024403,0.11917618755716608,1601,0.034595,0.15017,2273
526,0.026259,0.07872188529824783,1009,0.045482,0.08650170261383684,1598,0.030566,0.18239,2280
528,0.031587,0.07395111427328879,975,0.00369,0.22738818989218357,1557,0.00386,0.54722,2294
528,0.031587,0.07395111427328879,1006,0.038133,0.09554993085534054,1604,0.039127,0.12314,2277
506,0.002501,0.13905581029067357,972,0.002811,0.2437300834521658,1592,0.023531,0.21899,2264
513,0.006334,0.11525026582437176,973,0.003098,0.23821956795561378,1564,0.005697,0.45301,2296
504,0.001879,0.1464013056895814,945,0.000163,0.41135248284901643,1593,0.0246,0.21777,2300
525,0.02388,0.0811894600154765,987,0.010134,0.16807804111208538,1589,0.020539,0.22261,2296
512,0.005586,0.1184704339272214,1003,0.031643,0.1052394915244936,1577,0.011537,0.34986,2274
527,0.028861,0.07630927785866647,990,0.012741,0.1548546539760021,1555,0.00341,0.55038,2268
527,0.028861,0.07630927785866647,1002,0.029719,0.10861396516586448,1595,0.026909,0.18542,2262
530,0.037632,0.06939593476131409,995,0.018428,0.13429188775212894,1535,0.000895,0.72837,2277
534,0.052241,0.0609139459038858,990,0.012741,0.1548546539760021,1569,0.007588,0.40304,2286
522,0.017592,0.08892693333344363,978,0.004839,0.21163004105402708,1575,0.010438,0.35256,2272
492,0.000231,0.1955090947935819,949,0.000264,0.3848066872939196,1566,0.006415,0.4501,2293
528,0.031587,0.07395111427328879,1010,0.048204,0.08362570274381714,1558,0.004082,0.54556,2265
500,0.000991,0.16181715370253355,987,0.010134,0.16807804111208538,1560,0.004523,0.50116,2292
520,0.014267,0.09436879441500223,1006,0.038133,0.09554993085534054,1609,0.04783,0.09745,2286
502,0.001373,0.15398866884503148,998,0.02282,0.12284409201506367,1571,0.008412,0.40015,2274
511,0.004881,0.12175058188744681,1013,0.05705,0.07540939284217735,1583,0.015542,0.30283,2290
530,0.037632,0.06939593476131409,1013,0.05705,0.07540939284217735,1559,0.004308,0.50272,2286
535,0.056514,0.0589208016905911,1010,0.048204,0.08362570274381714,1544,0.00172,0.64544,2246
533,0.048258,0.06295740354060068,999,0.024403,0.11917618755716608,1529,0.000576,0.76786,2286
524,0.02167,0.08371250648363103,991,0.013703,0.15059400098504225,1597,0.029314,0.18339,2279
535,0.056514,0.0589208016905911,982,0.00671,0.19156813642141995,1534,0.000821,0.72949,2286
526,0.026259,0.07872188529824783,1009,0.045482,0.08650170261383684,1570,0.008002,0.40158,2267
501,0.001176,0.157872837837039,959,0.000756,0.3205363547882977,1563,0.005377,0.49641,2260
497,0.000587,0.17400907450419242,984,0.007966,0.1819569959217331,1604,0.039127,0.12314,2300
511,0.004881,0.12175058188744681,981,0.006171,0.19647964118820407,1563,0.005377,0.49641,2300
527,0.028861,0.07630927785866647,1000,0.026039,0.11558202443498841,1598,0.030566,0.18239,2295
526,0.026259,0.07872188529824783,1013,0.05705,0.07540939284217735,1578,0.012181,0.34839,2275
532,0.044502,0.06505180923841214,1007,0.040545,0.09246325633583473,1597,0.029314,0.18339,2289
520,0.014267,0.09436879441500223,995,0.018428,0.13429188775212894,1596,0.028082,0.18432,2298
531,0.041003,0.06719778406910008,1003,0.031643,0.1052394915244936,1559,0.004308,0.50272,2281
524,0.02167,0.08371250648363103,982,0.00671,0.19156813642141995,1567,0.006766,0.44869,2299
